,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wallet Address:,0x749Ad5e67F52e9885B33f6F6625574ddDaDb52eE,0xc6Ccecb3B0C1474294Af5C3579A888B9F947cF97,0x85F2DF88a273a632C44f48CC6F94469500CED42b,0x677Ffe1Ee372e4f6aF8b6583B0012289940e2324,0x0E8b32C39AF8CC81f2471810eddFd5A3d3EF0dce,0x74aD20a33B37cCA9f5Bd150BB4ce49cF50d0b5eb,0x6EAbb5FaaEEF7a14ABfDE529F1dB80384f405E17,0x27A818372670575914B50ff02580335e458fc696,0xFab398B2cbB51Cf2d00D8819f57853dafC721CeF,0xC0d6Bc5d052d1e74523AD79dD5A954276c9286D3,0xC0d6Bc5d052d1e74523AD79dD5A954276c9286D3,0xC0d6Bc5d052d1e74523AD79dD5A954276c9286D3,0xf484D78306E068BfE682829304344cf15FBedB49,0x7ea226f9fBAbFf6263D6937878CCa7867f2bB091,0x2C94c9590c5A4A691B46a0D6276DC90468d9f635,0x949f482347B02b25Df153942D84501Efb4698CB1,0x8c405dD569d597720c04e3c1577cE3841e206cE5,0xC0d6Bc5d052d1e74523AD79dD5A954276c9286D3,0xE23Aa13d53A728ECa4B1ae59Ae008Eef89c79f51,0x9A3CcbF4f2Fa1899a2165A367AcE6532Db592646,0xB913A66828e3c5E9e817876a3059F3baE77ECaFe,0xC0d6Bc5d052d1e74523AD79dD5A954276c9286D3,0xB35f6cbbd5f0b1eC1cbb50c5bf2620fd5f2918D4,0xC0d6Bc5d052d1e74523AD79dD5A954276c9286D3,0x5D6977aC3E7c8139f1C607308292ee4Cc4773865,0x815070A584d52384A1CdbFf844a38ae657e93aC8,0xC0d6Bc5d052d1e74523AD79dD5A954276c9286D3,0xb3C5839c98530efe921e3f35A0CF1bDf03EAA08d,0xB9d3F7cc1B916e5dA7537d28964fFaBbCf921A87,0xC0d6Bc5d052d1e74523AD79dD5A954276c9286D3,0xDe3258C1C45a557F4924d1E4e3d0A4E5341607Ee,0xCDA47d2cdA26ce48f48eDAB86CE0Ab52C153Ba7F,0xF6bC475378c2DE2465Ef86403A8492C3A89EF64C,0xC0d6Bc5d052d1e74523AD79dD5A954276c9286D3,0x6320d43FE9939efAD4d48bfCdC63C06BAFc2FE3d,0x669265141b4561528D27caC09282CE928A4896fa,0xE72185a9f4Ce3500d6dC7CCDCfC64cf66D823bE8,0xE72185a9f4Ce3500d6dC7CCDCfC64cf66D823bE8,0xcd25c40dCfB47f6eE3112734393D25c9e21A3AA7,0xcd25c40dCfB47f6eE3112734393D25c9e21A3AA7,0x652afcD1EB1A90A622dC4033eE7630BdD3ad3E51,0xCa81a029aCa50Fa3e25Ea2f26E10152d903fB4B5,0xF891855Ddb613A9D56b6EAeA7495950B374181e2,0x7d5Ff8caE8eF8d15357Cfd4A291E830C0F875F1B,0x3A0B303FF6B7250ddb659AdD318c8e74f3e8104d,0x4073F392794218FA3195cce45eaaC9A77066c640,0xFB1E9918FBA266797e1191597b64ED6Be1EE2728,0x7b7048820FB71Db6F086c5365E2948ce39E73304,0xD754d49Ce331669C4f15B5e1b8E72D2d9Fc51B28,0xd3819BEd61861d281d45E79988f95d4371D25e2c,0x86C614FD180855f35160eD34552Ad4E99b8A2B52,0x997137e1c2A1A8A78CE2D17796b870eFbC7572D2
7,"December 31, 2024","106,761","1,711","1,378","7,374",903,915,"8,021","80,237","11,218","12,359","5,609","12,359","5,609","5,609","4,183","2,805","2,805","2,805","1,378","2,805","1,141","2,805","1,378","1,378","1,711","1,378","1,378","1,474",143,808,"2,709",333,143,"1,331",190,"22,713","15,572","2,009","1,859",363,"3,618","2,072","2,607",566,283,"47,534","190,135","5,784","2,860","5,789",263,"28,989"
8,"January 31, 2025","122,012","1,956","1,575","8,428","1,032","1,046","9,167","91,699","12,821","14,124","6,410","14,124","6,410","6,410","4,781","3,205","3,205","3,205","1,575","3,205","1,304","3,205","1,575","1,575","1,956","1,575","1,575","1,684",163,924,"3,097",380,163,"1,521",217,"26,673","18,329","2,417","2,191",437,"4,267","2,457","3,098",679,339,"54,324","217,297","6,774","3,350","6,779",351,"33,131"
9,"February 28, 2025","137,264","2,200","1,772","9,481","1,161","1,177","10,313","103,162","14,423","15,890","7,212","15,890","7,212","7,212","5,378","3,606","3,606","3,606","1,772","3,606","1,467","3,606","1,772","1,772","2,200","1,772","1,772","1,895",183,"1,039","3,484",428,183,"1,711",245,"30,733","21,162","2,842","2,533",514,"4,936","2,854","3,606",796,398,"61,115","244,459","7,787","3,852","7,793",447,"37,272"
10,"March 31, 2025","152,515","2,445","1,969","10,535","1,290","1,307","11,459","114,624","16,026","17,655","8,013","17,655","8,013","8,013","5,976","4,006","4,006","4,006","1,969","4,006","1,630","4,006","1,969","1,969","2,445","1,969","1,969","2,105",204,"1,154","3,871",475,204,"1,901",272,"35,041","24,179","3,309","2,898",599,"5,650","3,282","4,155",925,463,"67,905","271,621","8,857","4,382","8,864",553,"41,413"
11,"April 30, 2025","167,767","2,689","2,166","11,588","1,419","1,438","12,605","126,087","17,628","19,421","8,814","19,421","8,814","8,814","6,573","4,407","4,407","4,407","2,166","4,407","1,793","4,407","2,166","2,166","2,689","2,166","2,166","2,316",224,"1,270","4,258",523,224,"2,091",299,"39,496","27,305","3,801","3,277",688,"6,391","3,728","4,729","1,061",530,"74,696","298,783","9,961","4,930","9,968",667,"45,554"
12,"May 31, 2025","183,018","2,934","2,363","12,642","1,548","1,569","13,751","137,549","19,231","21,187","9,616","21,187","9,616","9,616","7,171","4,808","4,808","4,808","2,363","4,808","1,956","4,808","2,363","2,363","2,934","2,363","2,363","2,526",245,"1,385","4,645",571,245,"2,282",326,"44,159","30,586","4,328","3,675",783,"7,171","4,200","5,337","1,206",603,"81,486","325,945","11,112","5,500","11,120",789,"49,696"
13,"June 30, 2025","198,270","3,178","2,560","13,695","1,677","1,699","14,897","149,011","20,834","22,952","10,417","22,952","10,417","10,417","7,768","5,208","5,208","5,208","2,560","5,208","2,119","5,208","2,560","2,560","3,178","2,560","2,560","2,737",265,"1,501","5,032",618,265,"2,472",353,"48,963","33,973","4,879","4,086",883,"7,977","4,690","5,968","1,357",678,"88,277","353,107","12,295","6,087","12,304",921,"53,837"
14,"July 31, 2025","213,521","3,422","2,757","14,748","1,806","1,830","16,043","160,474","22,436","24,718","11,218","24,718","11,218","11,218","8,366","5,609","5,609","5,609","2,757","5,609","2,282","5,609","2,757","2,757","3,422","2,757","2,757","2,947",285,"1,616","5,419",666,285,"2,662",380,"53,980","37,518","5,466","4,518",989,"8,823","5,206","6,635","1,518",759,"95,067","380,269","13,500","6,699","13,500","1,061","57,978"
15,"August 31, 2025","228,773","3,667","2,954","15,802","1,935","1,961","17,188","171,936","24,039","26,483","12,019","26,483","12,019","12,019","8,963","6,010","6,010","6,010","2,954","6,010","2,445","6,010","2,954","2,954","3,667","2,954","2,954","3,158",306,"1,732","5,806",713,306,"2,852",408,"59,175","41,196","6,083","4,966","1,101","9,701","5,744","7,332","1,687",843,"101,858","407,432","14,464","7,232","14,464","1,210","62,120"
16,"September 30, 2025","244,024","3,911","3,151","16,855","2,064","2,092","18,334","183,399","25,641","28,249","12,821","28,249","12,821","12,821","9,561","6,410","6,410","6,410","3,151","6,410","2,608","6,410","3,151","3,151","3,911","3,151","3,151","3,368",326,"1,847","6,193",761,326,"3,042",435,"64,503","44,973","6,723","5,426","1,217","10,605","6,299","8,050","1,862",931,"108,648","434,594","15,428","7,714","15,428","1,368","66,261"
17,"October 31, 2025","259,276","4,156","3,348","17,909","2,193","2,222","19,480","194,861","27,244","30,014","13,622","30,014","13,622","13,622","10,159","6,811","6,811","6,811","3,348","6,811","2,771","6,811","3,348","3,348","4,156","3,348","3,348","3,579",346,"1,962","6,580",808,346,"3,232",462,"70,054","48,916","7,400","5,907","1,339","11,549","6,881","8,806","2,046","1,023","115,439","461,756","16,392","8,196","16,392","1,535","70,402"
18,"November 30, 2025","274,527","4,400","3,545","18,962","2,322","2,353","20,626","206,324","28,847","31,780","14,423","31,780","14,423","14,423","10,756","7,212","7,212","7,212","3,545","7,212","2,934","7,212","3,545","3,545","4,400","3,545","3,545","3,789",367,"2,078","6,967",856,367,"3,422",489,"75,730","52,953","8,099","6,400","1,466","12,517","7,479","9,582","2,237","1,119","122,229","488,918","17,357","8,678","17,357","1,710","74,544"
19,"December 31, 2025","289,779","4,645","3,741","20,016","2,451","2,484","21,772","217,786","30,449","33,545","15,225","33,545","15,225","15,225","11,354","7,612","7,612","7,612","3,741","7,612","3,097","7,612","3,741","3,741","4,645","3,741","3,741","4,000",387,"2,193","7,354",903,387,"3,612",516,"79,992","57,159","8,837","6,915","1,599","13,527","8,105","10,397","2,438","1,219","129,020","516,080","18,321","9,160","18,321","1,895","78,685"
20,"January 31, 2026","305,030","4,889","3,938","21,069","2,580","2,615","22,918","229,248","32,052","35,311","16,026","35,311","16,026","16,026","11,951","8,013","8,013","8,013","3,938","8,013","3,260","8,013","3,938","3,938","4,889","3,938","3,938","4,210",408,"2,309","7,741",951,408,"3,803",543,"84,203","61,499","9,604","7,446","1,738","14,571","8,754","11,241","2,647","1,324","135,811","543,242","19,285","9,643","19,285","2,087","82,826"
21,"February 28, 2026","320,282","5,134","4,135","22,123","2,709","2,745","24,064","240,711","33,654","37,076","16,827","37,076","16,827","16,827","12,549","8,414","8,414","8,414","4,135","8,414","3,423","8,414","4,135","4,135","5,134","4,135","4,135","4,421",428,"2,424","8,128",998,428,"3,993",571,"88,413","65,837","10,372","7,976","1,877","15,613","9,402","12,084","2,856","1,428","142,601","570,404","20,249","10,125","20,249","2,289","86,968"
22,"March 31, 2026","335,533","5,378","4,332","23,176","2,838","2,876","25,210","252,173","35,257","38,842","17,628","38,842","17,628","17,628","13,146","8,814","8,814","8,814","4,332","8,814","3,586","8,814","4,332","4,332","5,378","4,332","4,332","4,631",448,"2,540","8,515","1,046",448,"4,183",598,"92,623","69,019","11,198","8,540","2,026","16,721","10,094","12,986","3,081","1,540","149,392","597,566","21,214","10,607","21,214","2,500","91,109"
23,"April 30, 2026","350,785","5,623","4,529","24,230","2,967","3,007","26,356","263,636","36,859","40,607","18,430","40,607","18,430","18,430","13,744","9,215","9,215","9,215","4,529","9,215","3,749","9,215","4,529","4,529","5,623","4,529","4,529","4,842",469,"2,655","8,902","1,093",469,"4,373",625,"96,833","72,156","12,044","9,059","2,179","17,850","10,800","13,907","3,311","1,655","156,182","624,728","22,178","11,089","22,178","2,719","95,250"
24,"May 31, 2026","366,037","5,867","4,726","25,283","3,097","3,138","27,502","275,098","38,462","42,373","19,231","42,373","19,231","19,231","14,342","9,616","9,616","9,616","4,726","9,616","3,912","9,616","4,726","4,726","5,867","4,726","4,726","5,052",489,"2,771","9,290","1,141",489,"4,563",652,"101,043","75,293","12,931","9,452","2,340","18,742","11,535","14,867","3,551","1,776","162,973","651,890","23,142","11,571","23,142","2,947","99,392"
25,"June 30, 2026","381,288","6,111","4,923","26,336","3,226","3,268","28,647","286,560","40,065","44,139","20,032","44,139","20,032","20,032","14,939","10,016","10,016","10,016","4,923","10,016","4,074","10,016","4,923","4,923","6,111","4,923","4,923","5,263",509,"2,886","9,677","1,189",509,"4,753",679,"105,253","78,431","13,836","9,846","2,504","19,523","12,284","15,846","3,797","1,898","169,763","679,053","24,106","12,053","24,106","3,184","103,533"
26,"July 31, 2026","396,540","6,356","5,120","27,390","3,355","3,399","29,793","298,023","41,667","45,904","20,834","45,904","20,834","20,834","15,537","10,417","10,417","10,417","5,120","10,417","4,237","10,417","5,120","5,120","6,356","5,120","5,120","5,473",530,"3,001","10,064","1,236",530,"4,943",706,"109,463","81,568","14,782","10,240","2,675","20,304","13,064","16,866","4,054","2,027","176,554","706,215","25,071","12,535","25,071","3,429","107,674"
27,"August 31, 2026","411,791","6,600","5,317","28,443","3,484","3,530","30,939","309,485","43,270","47,670","21,635","47,670","21,635","21,635","16,134","10,817","10,817","10,817","5,317","10,817","4,400","10,817","5,317","5,317","6,600","5,317","5,317","5,684",550,"3,117","10,451","1,284",550,"5,133",734,"113,673","84,705","15,759","10,634","2,852","21,085","13,866","17,915","4,318","2,159","183,344","733,377","26,035","13,017","26,035","3,684","111,815"
28,"September 30, 2026","427,043","6,845","5,514","29,497","3,613","3,660","32,085","320,948","44,872","49,435","22,436","49,435","22,436","22,436","16,732","11,218","11,218","11,218","5,514","11,218","4,563","11,218","5,514","5,514","6,845","5,514","5,514","5,894",571,"3,232","10,838","1,331",571,"5,324",761,"117,884","87,842","16,753","11,028","3,031","21,865","14,640","18,981","4,588","2,294","190,135","760,539","26,999","13,500","26,999","3,947","115,957"
29,"October 31, 2026","442,294","7,089","5,711","30,550","3,742","3,791","33,231","332,410","46,475","51,201","23,237","51,201","23,237","23,237","17,329","11,619","11,619","11,619","5,711","11,619","4,726","11,619","5,711","5,711","7,089","5,711","5,711","6,105",591,"3,348","11,225","1,379",591,"5,514",788,"122,094","90,979","17,790","11,422","3,219","22,646","15,163","20,089","4,869","2,434","196,925","787,701","27,963","13,982","27,963","4,219","120,098"
30,"November 30, 2026","457,546","7,334","5,908","31,604","3,871","3,922","34,377","343,873","48,078","52,966","24,039","52,966","24,039","24,039","17,927","12,019","12,019","12,019","5,908","12,019","4,889","12,019","5,908","5,908","7,334","5,908","5,908","6,315",611,"3,463","11,612","1,426",611,"5,704",815,"126,304","94,117","18,843","11,816","3,410","23,427","15,686","20,983","5,154","2,577","203,716","814,863","28,928","14,464","28,928","4,499","124,239"
31,"December 31, 2026","472,797","7,578","6,104","32,657","4,000","4,053","35,523","355,335","49,680","54,732","24,840","54,732","24,840","24,840","18,524","12,420","12,420","12,420","6,104","12,420","5,052","12,420","6,104","6,104","7,578","6,104","6,104","6,526",632,"3,579","11,999","1,474",632,"5,894",842,"130,514","97,254","19,940","12,209","3,608","24,208","16,209","21,682","5,450","2,725","210,506","842,025","29,892","14,946","29,892","4,789","128,381"
32,"January 31, 2027","488,049","7,823","6,301","33,711","4,129","4,183","36,669","366,797","51,283","56,497","25,641","56,497","25,641","25,641","19,122","12,821","12,821","12,821","6,301","12,821","5,215","12,821","6,301","6,301","7,823","6,301","6,301","6,736",652,"3,694","12,386","1,521",652,"6,084",869,"134,724","100,391","21,067","12,603","3,812","24,989","16,732","22,382","5,755","2,878","217,297","869,187","30,856","15,428","30,856","5,087","132,522"
33,"February 28, 2027","503,300","8,067","6,498","34,764","4,258","4,314","37,815","378,260","52,885","58,263","26,443","58,263","26,443","26,443","19,720","13,221","13,221","13,221","6,498","13,221","5,378","13,221","6,498","6,498","8,067","6,498","6,498","6,947",672,"3,809","12,773","1,569",672,"6,274",897,"138,934","103,528","22,176","12,997","4,013","25,770","17,255","23,081","6,055","3,028","224,087","896,349","31,820","15,910","31,820","5,394","136,663"
34,"March 31, 2027","518,552","8,312","6,695","35,818","4,387","4,445","38,960","389,722","54,488","60,028","27,244","60,028","27,244","27,244","20,317","13,622","13,622","13,622","6,695","13,622","5,541","13,622","6,695","6,695","8,312","6,695","6,695","7,157",693,"3,925","13,160","1,616",693,"6,464",924,"143,144","106,666","23,363","13,391","4,228","26,551","17,778","23,780","6,376","3,188","230,878","923,512","32,785","16,392","32,785","5,710","140,805"
35,"April 30, 2027","533,803","8,556","6,892","36,871","4,516","4,576","40,106","401,185","56,090","61,794","28,045","61,794","28,045","28,045","20,915","14,023","14,023","14,023","6,892","14,023","5,704","14,023","6,892","6,892","8,556","6,892","6,892","7,368",713,"4,040","13,547","1,664",713,"6,654",951,"147,354","109,803","24,562","13,785","4,445","27,332","18,300","24,480","6,655","3,327","237,668","950,674","33,749","16,874","33,749","6,034","144,946"
36,"May 31, 2027","549,055","8,801","7,089","37,925","4,645","4,706","41,252","412,647","57,693","63,560","28,847","63,560","28,847","28,847","21,512","14,423","14,423","14,423","7,089","14,423","5,867","14,423","7,089","7,089","8,801","7,089","7,089","7,578",734,"4,156","13,934","1,712",734,"6,845",978,"151,565","112,940","25,668","14,179","4,645","28,113","18,823","25,179","6,845","3,422","244,459","977,836","34,713","17,357","34,713","6,368","149,087"
37,"June 30, 2027","564,306","9,045","7,286","38,978","4,774","4,837","42,398","424,109","59,296","65,325","29,648","65,325","29,648","29,648","22,110","14,824","14,824","14,824","7,286","14,824","6,030","14,824","7,286","7,286","9,045","7,286","7,286","7,789",754,"4,271","14,321","1,759",754,"7,035","1,005","155,775","116,077","26,381","14,572","4,774","28,894","19,346","25,879","7,035","3,517","251,249","1,004,998","35,677","17,839","35,677","6,710","153,229"
38,"July 31, 2027","579,558","9,289","7,483","40,031","4,903","4,968","43,544","435,572","60,898","67,091","30,449","67,091","30,449","30,449","22,707","15,225","15,225","15,225","7,483","15,225","6,193","15,225","7,483","7,483","9,289","7,483","7,483","7,999",774,"4,387","14,708","1,807",774,"7,225","1,032","159,985","119,214","27,094","14,966","4,903","29,675","19,869","26,578","7,225","3,613","258,040","1,032,160","36,642","18,321","36,642","7,061","157,370"
39,"August 31, 2027","594,809","9,534","7,680","41,085","5,032","5,098","44,690","447,034","62,501","68,856","31,250","68,856","31,250","31,250","23,305","15,625","15,625","15,625","7,680","15,625","6,356","15,625","7,680","7,680","9,534","7,680","7,680","8,210",795,"4,502","15,095","1,854",795,"7,415","1,060","164,195","122,352","27,807","15,360","5,032","30,456","20,392","27,278","7,415","3,708","264,831","1,059,322","37,606","18,803","37,606","7,420","161,511"
40,"September 30, 2027","610,061","9,778","7,877","42,138","5,161","5,229","45,836","458,497","64,103","70,622","32,052","70,622","32,052","32,052","23,903","16,026","16,026","16,026","7,877","16,026","6,519","16,026","7,877","7,877","9,778","7,877","7,877","8,420",815,"4,618","15,483","1,902",815,"7,605","1,087","168,405","125,489","28,520","15,754","5,161","31,236","20,915","27,977","7,605","3,803","271,621","1,086,484","38,570","19,285","38,570","7,789","165,653"
41,"October 31, 2027","625,312","10,023","8,074","43,192","5,290","5,360","46,982","469,959","65,706","72,387","32,853","72,387","32,853","32,853","24,500","16,426","16,426","16,426","8,074","16,426","6,682","16,426","8,074","8,074","10,023","8,074","8,074","8,631",835,"4,733","15,870","1,949",835,"7,795","1,114","172,615","128,626","29,233","16,148","5,290","32,017","21,438","28,676","7,796","3,898","278,412","1,113,646","39,534","19,767","39,534","7,999","169,794"
42,"November 30, 2027","640,564","10,267","8,271","44,245","5,419","5,491","48,128","481,422","67,309","74,153","33,654","74,153","33,654","33,654","25,098","16,827","16,827","16,827","8,271","16,827","6,845","16,827","8,271","8,271","10,267","8,271","8,271","8,841",856,"4,848","16,257","1,997",856,"7,985","1,141","176,825","131,763","29,946","16,542","5,419","32,798","21,961","29,376","7,986","3,993","285,202","1,140,808","40,499","20,249","40,499","8,210","173,935"
43,"December 31, 2027","655,815","10,512","8,467","45,299","5,548","5,621","49,274","492,884","68,911","75,918","34,456","75,918","34,456","34,456","25,695","17,228","17,228","17,228","8,467","17,228","7,008","17,228","8,467","8,467","10,512","8,467","8,467","9,052",876,"4,964","16,644","2,044",876,"8,175","1,168","181,035","134,901","30,659","16,936","5,548","33,579","22,483","30,075","8,176","4,088","291,993","1,167,970","41,463","20,731","41,463","8,420","178,076"
